REGION,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,0.0,0.0,0.0,0.0,0.0,156.0,139.0,130.0,164.0,279.0,197.0,152.0,208.0,133.0,146.0,159.0,1309.0,160.0,160.0,2.0,0.0,0.0,0.0
America,3677.0,15675.0,3459.0,23322.0,32632.0,12897.0,36237.0,11970.0,13457.0,18978.0,15991.0,14200.0,14653.0,13540.0,29067.0,17754.0,21354.0,15630.0,20987.0,28248.0,47473.0,25610.0,28584.0
Eastern Mediterranean,30.0,60.0,72.0,177.0,461.0,973.0,1126.0,1049.0,1279.0,2497.0,1555.0,1613.0,2020.0,2644.0,7310.0,2186.0,15922.0,2252.0,12301.0,2689.0,8376.0,16686.0,18351.0
Europe,57207.0,65415.0,84273.0,77905.0,84589.0,66598.0,59508.0,90001.0,112374.0,81268.0,96638.0,82780.0,130704.0,129810.0,83820.0,86162.0,92659.0,110730.0,93473.0,110760.0,76169.0,90518.0,82808.0
South-East Asia,0.0,0.0,0.0,0.0,0.0,72.0,97.0,144.0,128.0,148.0,212.0,480.0,508.0,2632.0,602.0,3537.0,1024.0,4838.0,1023.0,956.0,1163.0,3268.0,1101.0
Western Pacific,1032.0,933.0,1056.0,1935.0,2121.0,9025.0,4436.0,2983.0,14543.0,3491.0,4364.0,3582.0,3810.0,3956.0,4491.0,22891.0,6938.0,18186.0,9633.0,9546.0,8196.0,8047.0,8225.0
