REGION,Total Transplants,Percentage
Africa,286.0,0.18413004989538065
America,60919.0,39.220344439079355
Eastern Mediterranean,8420.0,5.42089167873813
Europe,39686.0,25.550297762755513
South-East Asia,17181.0,11.06132303235152
Western Pacific,28833.0,18.563013037180106
